County,Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total,Voter_Turnout
Madison County,Fort Russell 01,Davis,62.94%,445,Dirksen-Londrigan,37.06%,262,707,73.06%
Madison County,Fort Russell 03,Davis,62.26%,414,Dirksen-Londrigan,37.74%,251,665,56.02%
Madison County,Fort Russell 05,Davis,61.50%,508,Dirksen-Londrigan,38.50%,318,826,65.55%
Madison County,Fort Russell 06,Davis,62.23%,262,Dirksen-Londrigan,37.77%,159,421,66.20%
Madison County,Moro 01,Davis,65.22%,300,Dirksen-Londrigan,34.78%,160,460,67.77%
Madison County,Moro 02,Davis,61.33%,268,Dirksen-Londrigan,38.67%,169,437,65.15%
Madison County,Moro 03,Davis,61.28%,516,Dirksen-Londrigan,38.72%,326,842,65.41%
Madison County,Foster 01,Davis,65.37%,387,Dirksen-Londrigan,34.63%,205,592,67.30%
Madison County,Foster 02,Davis,61.88%,112,Dirksen-Londrigan,38.12%,69,181,61.56%
Madison County,Foster 03,Davis,58.76%,228,Dirksen-Londrigan,41.24%,160,388,61.74%
Madison County,Foster 04,Davis,66.40%,251,Dirksen-Londrigan,33.60%,127,378,67.79%
Madison County,Foster 05,Davis,65.05%,242,Dirksen-Londrigan,34.95%,130,372,66.73%
Madison County,Godfrey 01,Davis,53.77%,264,Dirksen-Londrigan,46.23%,227,491,53.57%
Madison County,Godfrey 02,Davis,56.49%,174,Dirksen-Londrigan,43.51%,134,308,53.82%
Madison County,Godfrey 03,Davis,62.50%,275,Dirksen-Londrigan,37.50%,165,440,66.12%
Madison County,Godfrey 04,Davis,64.50%,338,Dirksen-Londrigan,35.50%,186,524,68.95%
Madison County,Godfrey 05,Davis,63.24%,394,Dirksen-Londrigan,36.76%,229,623,71.01%
Madison County,Godfrey 06,Davis,56.63%,397,Dirksen-Londrigan,43.37%,304,701,60.80%
Madison County,Godfrey 07,Davis,58.05%,364,Dirksen-Londrigan,41.95%,263,627,66.98%
Madison County,Godfrey 08,Davis,57.06%,190,Dirksen-Londrigan,42.94%,143,333,59.89%
Madison County,Godfrey 09,Davis,63.81%,432,Dirksen-Londrigan,36.19%,245,677,61.39%
Madison County,Godfrey 10,Davis,58.24%,403,Dirksen-Londrigan,41.76%,289,692,62.59%
Madison County,Godfrey 11,Davis,64.83%,282,Dirksen-Londrigan,35.17%,153,435,64.42%
Madison County,Godfrey 12,Davis,48.44%,155,Dirksen-Londrigan,51.56%,165,320,42.88%
Madison County,Godfrey 13,Davis,63.49%,447,Dirksen-Londrigan,36.51%,257,704,65.21%
Madison County,Godfrey 14,Davis,63.70%,451,Dirksen-Londrigan,36.30%,257,708,68.88%
Madison County,Godfrey 15,Davis,61.57%,338,Dirksen-Londrigan,38.43%,211,549,67.98%
McClean County,BLOOMINGTON 01,Davis,58.10%,143,Dirksen Londrigan,41.90%,103,246,54.89%
McClean County,BLOOMINGTON 02,Davis,50.90%,27,Dirksen Londrigan,49.10%,26,53,58.96%
McClean County,DALE 01,Davis,68.50%,440,Dirksen Londrigan,31.50%,202,642,62.00%
McClean County,FUNKS GROVE 01,Davis,70.80%,92,Dirksen Londrigan,29.20%,38,130,64.08%
McClean County,NORMAL 01,Davis,30.80%,33,Dirksen Londrigan,69.20%,74,107,54.53%
McClean County,NORMAL 02,Davis,25.60%,247,Dirksen Londrigan,74.40%,716,963,63.10%
McClean County,NORMAL 03,Davis,40.00%,2,Dirksen Londrigan,60.00%,3,5,62.86%
McClean County,NORMAL 07,Davis,22.20%,4,Dirksen Londrigan,77.80%,14,18,63.70%
McClean County,NORMAL 08,Davis,20.00%,198,Dirksen Londrigan,80.00%,792,990,69.63%
McClean County,NORMAL 09,Davis,30.40%,168,Dirksen Londrigan,69.60%,385,553,53.37%
McClean County,NORMAL 10,Davis,39.70%,198,Dirksen Londrigan,60.30%,301,499,57.97%
McClean County,NORMAL 11,Davis,39.80%,212,Dirksen Londrigan,60.20%,321,533,52.70%
McClean County,NORMAL 14,Davis,29.40%,274,Dirksen Londrigan,70.60%,659,933,68.38%
McClean County,NORMAL 21,Davis,42.20%,208,Dirksen Londrigan,57.80%,285,493,58.52%
McClean County,NORMAL 22,Davis,37.20%,199,Dirksen Londrigan,62.80%,336,535,65.10%
McClean County,NORMAL 23,Davis,36.60%,181,Dirksen Londrigan,63.40%,314,495,57.99%
McClean County,NORMAL 24,Davis,21.30%,61,Dirksen Londrigan,78.70%,225,286,49.48%
McClean County,NORMAL 29,Davis,21.90%,133,Dirksen Londrigan,78.10%,474,607,55.32%
McClean County,NORMAL 30,Davis,16.20%,36,Dirksen Londrigan,83.80%,186,222,59.69%
McClean County,RANDOLPH 01,Davis,68.00%,420,Dirksen Londrigan,32.00%,198,618,59.07%
McClean County,RANDOLPH 03,Davis,48.90%,22,Dirksen Londrigan,51.10%,23,45,66.22%
Montgomery County,Audubon,Davis,78.06%,185,Dirksen-Londrigan,21.94%,52,237,72.67%
Montgomery County,Bois D'arc,Davis,66.50%,274,Dirksen-Londrigan,33.50%,138,412,70.07%
Montgomery County,Butler Grove,Davis,65.08%,259,Dirksen-Londrigan,34.92%,139,398,78.85%
Montgomery County,East Fork 1,Davis,59.72%,255,Dirksen-Londrigan,40.28%,172,427,72.43%
Montgomery County,East Fork 2,Davis,62.03%,49,Dirksen-Londrigan,37.97%,30,79,67.77%
Montgomery County,East Fork 3,Davis,56.86%,232,Dirksen-Londrigan,43.14%,176,408,76.64%
Montgomery County,Fillmore Consolidated,Davis,66.67%,270,Dirksen-Londrigan,33.33%,135,405,75.31%
Montgomery County,Grisham 1,Davis,48.75%,78,Dirksen-Londrigan,51.25%,82,160,74.65%
Montgomery County,Grisham 2,Davis,65.71%,69,Dirksen-Londrigan,34.29%,36,105,61.45%
Montgomery County,Harvel,Davis,60.00%,63,Dirksen-Londrigan,40.00%,42,105,80.30%
Montgomery County,Hillsboro 1,Davis,59.26%,192,Dirksen-Londrigan,40.74%,132,324,73.32%
Montgomery County,Hillsboro 2,Davis,64.66%,183,Dirksen-Londrigan,35.34%,100,283,78.86%
Montgomery County,Hillsboro 3,Davis,65.97%,316,Dirksen-Londrigan,34.03%,163,479,74.47%
Montgomery County,Hillsboro 4,Davis,64.56%,133,Dirksen-Londrigan,35.44%,73,206,63.45%
Montgomery County,Hillsboro 5,Davis,60.49%,297,Dirksen-Londrigan,39.51%,194,491,75.33%
Montgomery County,Hillsboro 6,Davis,52.85%,250,Dirksen-Londrigan,47.15%,223,473,74.69%
Montgomery County,Irving,Davis,67.38%,285,Dirksen-Londrigan,32.62%,138,423,74.61%
Montgomery County,Nokomis 1,Davis,69.29%,97,Dirksen-Londrigan,30.71%,43,140,72.82%
Montgomery County,Nokomis 2,Davis,73.20%,284,Dirksen-Londrigan,26.80%,104,388,70.69%
Montgomery County,Nokomis 3,Davis,66.91%,184,Dirksen-Londrigan,33.09%,91,275,69.48%
Montgomery County,Nokomis 4,Davis,68.93%,213,Dirksen-Londrigan,31.07%,96,309,69.69%
Montgomery County,North Litchfield 1,Davis,72.23%,346,Dirksen-Londrigan,27.77%,133,479,77.01%
Montgomery County,North Litchfield 2,Davis,63.96%,236,Dirksen-Londrigan,36.04%,133,369,68.68%
Montgomery County,North Litchfield 3,Davis,61.67%,185,Dirksen-Londrigan,38.33%,115,300,75.43%
Montgomery County,North Litchfield 4,Davis,63.32%,145,Dirksen-Londrigan,36.68%,84,229,64.92%
Montgomery County,North Litchfield 5,Davis,60.81%,135,Dirksen-Londrigan,39.19%,87,222,66.09%
Montgomery County,North Litchfield 6,Davis,69.92%,351,Dirksen-Londrigan,30.08%,151,502,70.61%
Montgomery County,Pitman,Davis,70.17%,127,Dirksen-Londrigan,29.83%,54,181,73.54%
Montgomery County,Raymond,Davis,74.61%,426,Dirksen-Londrigan,25.39%,145,571,74.52%
Montgomery County,Rountree,Davis,79.34%,96,Dirksen-Londrigan,20.66%,25,121,80.26%
Montgomery County,South Litchfield 1,Davis,61.06%,196,Dirksen-Londrigan,38.94%,125,321,67.77%
Montgomery County,South Litchfield 2,Davis,54.32%,201,Dirksen-Londrigan,45.68%,169,370,59.34%
Montgomery County,South Litchfield 3,Davis,64.24%,97,Dirksen-Londrigan,35.76%,54,151,55.00%
Montgomery County,South Litchfield 4,Davis,61.48%,166,Dirksen-Londrigan,38.52%,104,270,68.38%
Montgomery County,Walshville,Davis,61.42%,78,Dirksen-Londrigan,38.58%,49,127,64.02%
Montgomery County,Witt 1,Davis,75.84%,204,Dirksen-Londrigan,24.16%,65,269,77.22%
Montgomery County,Witt 2,Davis,58.68%,98,Dirksen-Londrigan,41.32%,69,167,65.93%
Montgomery County,Zanesville,Davis,82.06%,183,Dirksen-Londrigan,17.94%,40,223,77.24%
Sangamon County,Capital 001,Davis,28.57%,2,Dirksen-Londrigan,71.43%,5,7,49.79%
Sangamon County,Capital 003,Davis,10.49%,28,Dirksen-Londrigan,89.51%,239,267,41.97%
Sangamon County,Capital 004,Davis,31.76%,74,Dirksen-Londrigan,68.24%,159,233,60.49%
Sangamon County,Capital 005,Davis,25.16%,80,Dirksen-Londrigan,74.84%,238,318,46.14%
Sangamon County,Capital 006,Davis,12.46%,40,Dirksen-Londrigan,87.54%,281,321,40.61%
Sangamon County,Capital 007,Davis,27.01%,47,Dirksen-Londrigan,72.99%,127,174,33.64%
Sangamon County,Capital 008,Davis,53.20%,208,Dirksen-Londrigan,46.80%,183,391,49.32%
Sangamon County,Capital 009,Davis,55.76%,300,Dirksen-Londrigan,44.24%,238,538,65.64%
Sangamon County,Capital 010,Davis,48.12%,179,Dirksen-Londrigan,51.88%,193,372,60.79%
Sangamon County,Capital 011,Davis,45.45%,175,Dirksen-Londrigan,54.55%,210,385,58.16%
Sangamon County,Capital 012,Davis,47.58%,216,Dirksen-Londrigan,52.42%,238,454,57.97%
Sangamon County,Capital 013,Davis,43.92%,83,Dirksen-Londrigan,56.08%,106,189,42.54%
Sangamon County,Capital 014,Davis,45.08%,325,Dirksen-Londrigan,54.92%,396,721,78.30%
Sangamon County,Capital 018,Davis,58.31%,207,Dirksen-Londrigan,41.69%,148,355,60.27%
Sangamon County,Capital 019,Davis,45.66%,142,Dirksen-Londrigan,54.34%,169,311,60.84%
Sangamon County,Capital 021,Davis,53.13%,153,Dirksen-Londrigan,46.88%,135,288,61.72%
Sangamon County,Capital 023,Davis,9.26%,30,Dirksen-Londrigan,90.74%,294,324,47.03%
Sangamon County,Capital 024,Davis,48.84%,190,Dirksen-Londrigan,51.16%,199,389,55.76%
Sangamon County,Capital 026,Davis,51.94%,134,Dirksen-Londrigan,48.06%,124,258,48.70%
Sangamon County,Capital 027,Davis,34.95%,115,Dirksen-Londrigan,65.05%,214,329,49.27%
Sangamon County,Capital 032,Davis,30.90%,144,Dirksen-Londrigan,69.10%,322,466,57.49%
Sangamon County,Capital 033,Davis,30.25%,111,Dirksen-Londrigan,69.75%,256,367,49.67%
Sangamon County,Capital 034,Davis,37.26%,158,Dirksen-Londrigan,62.74%,266,424,53.62%
Sangamon County,Capital 035,Davis,35.54%,145,Dirksen-Londrigan,64.46%,263,408,59.37%
Sangamon County,Capital 036,Davis,39.13%,189,Dirksen-Londrigan,60.87%,294,483,68.85%
Sangamon County,Capital 037,Davis,60.28%,466,Dirksen-Londrigan,39.72%,307,773,75.75%
Sangamon County,Capital 039,Davis,31.52%,87,Dirksen-Londrigan,68.48%,189,276,37.30%
Sangamon County,Capital 041,Davis,56.71%,245,Dirksen-Londrigan,43.29%,187,432,58.80%
Sangamon County,Capital 042,Davis,38.25%,192,Dirksen-Londrigan,61.75%,310,502,60.36%
Sangamon County,Capital 043,Davis,28.11%,149,Dirksen-Londrigan,71.89%,381,530,70.47%
Sangamon County,Capital 045,Davis,33.62%,158,Dirksen-Londrigan,66.38%,312,470,70.71%
Sangamon County,Capital 046,Davis,32.16%,174,Dirksen-Londrigan,67.84%,367,541,70.83%
Sangamon County,Capital 047,Davis,63.64%,385,Dirksen-Londrigan,36.36%,220,605,74.54%
Sangamon County,Capital 048,Davis,8.33%,21,Dirksen-Londrigan,91.67%,231,252,37.45%
Sangamon County,Capital 049,Davis,36.43%,208,Dirksen-Londrigan,63.57%,363,571,71.09%
Sangamon County,Capital 050,Davis,35.21%,156,Dirksen-Londrigan,64.79%,287,443,51.82%
Sangamon County,Capital 051,Davis,35.94%,170,Dirksen-Londrigan,64.06%,303,473,61.68%
Sangamon County,Capital 054,Davis,41.30%,228,Dirksen-Londrigan,58.70%,324,552,78.28%
Sangamon County,Capital 055,Davis,37.63%,219,Dirksen-Londrigan,62.37%,363,582,71.08%
Sangamon County,Capital 056,Davis,48.06%,273,Dirksen-Londrigan,51.94%,295,568,73.65%
Sangamon County,Capital 058,Davis,29.55%,86,Dirksen-Londrigan,70.45%,205,291,49.01%
Sangamon County,Capital 059,Davis,59.44%,362,Dirksen-Londrigan,40.56%,247,609,74.61%
Sangamon County,Capital 060,Davis,53.15%,177,Dirksen-Londrigan,46.85%,156,333,57.43%
Sangamon County,Capital 061,Davis,43.49%,227,Dirksen-Londrigan,56.51%,295,522,66.25%
Sangamon County,Capital 062,Davis,31.88%,44,Dirksen-Londrigan,68.12%,94,138,69.62%
Sangamon County,Capital 064,Davis,10.14%,35,Dirksen-Londrigan,89.86%,310,345,47.58%
Sangamon County,Capital 065,Davis,20.54%,46,Dirksen-Londrigan,79.46%,178,224,39.36%
Sangamon County,Capital 068,Davis,41.13%,174,Dirksen-Londrigan,58.87%,249,423,51.43%
Sangamon County,Capital 071,Davis,46.73%,186,Dirksen-Londrigan,53.27%,212,398,63.41%
Sangamon County,Capital 072,Davis,50.55%,137,Dirksen-Londrigan,49.45%,134,271,43.77%
Sangamon County,Capital 073,Davis,21.91%,62,Dirksen-Londrigan,78.09%,221,283,38.11%
Sangamon County,Capital 075,Davis,27.04%,73,Dirksen-Londrigan,72.96%,197,270,49.21%
Sangamon County,Capital 076,Davis,33.10%,143,Dirksen-Londrigan,66.90%,289,432,55.32%
Sangamon County,Capital 077,Davis,11.17%,23,Dirksen-Londrigan,88.83%,183,206,38.19%
Sangamon County,Capital 078,Davis,45.78%,179,Dirksen-Londrigan,54.22%,212,391,56.07%
Sangamon County,Capital 079,Davis,13.08%,34,Dirksen-Londrigan,86.92%,226,260,38.83%
Sangamon County,Capital 082,Davis,59.47%,446,Dirksen-Londrigan,40.53%,304,750,75.30%
Sangamon County,Capital 083,Davis,19.89%,36,Dirksen-Londrigan,80.11%,145,181,39.37%
Sangamon County,Capital 084,Davis,38.26%,158,Dirksen-Londrigan,61.74%,255,413,51.03%
Sangamon County,Capital 087,Davis,39.69%,229,Dirksen-Londrigan,60.31%,348,577,61.42%
Sangamon County,Capital 088,Davis,37.28%,107,Dirksen-Londrigan,62.72%,180,287,46.01%
Sangamon County,Capital 089,Davis,24.92%,83,Dirksen-Londrigan,75.08%,250,333,59.68%
Sangamon County,Capital 092,Davis,54.29%,335,Dirksen-Londrigan,45.71%,282,617,72.83%
Sangamon County,Capital 093,Davis,51.69%,245,Dirksen-Londrigan,48.31%,229,474,62.14%
Sangamon County,Capital 094,Davis,48.48%,288,Dirksen-Londrigan,51.52%,306,594,77.26%
Sangamon County,Capital 095,Davis,65.88%,502,Dirksen-Londrigan,34.12%,260,762,76.56%
Sangamon County,Capital 096,Davis,35.40%,183,Dirksen-Londrigan,64.60%,334,517,67.01%
Sangamon County,Capital 097,Davis,43.22%,223,Dirksen-Londrigan,56.78%,293,516,77.76%
Sangamon County,Capital 099,Davis,51.45%,320,Dirksen-Londrigan,48.55%,302,622,75.51%
Sangamon County,Capital 101,Davis,54.50%,315,Dirksen-Londrigan,45.50%,263,578,71.05%
Sangamon County,Capital 102,Davis,39.64%,132,Dirksen-Londrigan,60.36%,201,333,57.05%
Sangamon County,Cooper 001,Davis,65.52%,114,Dirksen-Londrigan,34.48%,60,174,71.30%
Sangamon County,Cotton Hill 001,Davis,71.96%,390,Dirksen-Londrigan,28.04%,152,542,70.36%
Sangamon County,Rochester 001,Davis,59.59%,115,Dirksen-Londrigan,40.41%,78,193,70.03%
Sangamon County,Rochester 002,Davis,61.19%,298,Dirksen-Londrigan,38.81%,189,487,71.39%
Sangamon County,Rochester 003,Davis,70.69%,410,Dirksen-Londrigan,29.31%,170,580,72.56%
Sangamon County,Rochester 004,Davis,65.22%,392,Dirksen-Londrigan,34.78%,209,601,74.06%
Sangamon County,Rochester 005,Davis,64.18%,439,Dirksen-Londrigan,35.82%,245,684,77.75%
Sangamon County,Springfield 001,Davis,46.62%,145,Dirksen-Londrigan,53.38%,166,311,3967.00%
Sangamon County,Springfield 002,Davis,55.78%,140,Dirksen-Londrigan,44.22%,111,251,37.41%
Sangamon County,Springfield 003,Davis,51.32%,39,Dirksen-Londrigan,48.68%,37,76,56.52%
Sangamon County,Springfield 004,Davis,49.18%,30,Dirksen-Londrigan,50.82%,31,61,43.59%
Sangamon County,Springfield 005,Davis,55.05%,120,Dirksen-Londrigan,44.95%,98,218,50.00%
Sangamon County,Woodside 002,Davis,58.15%,107,Dirksen-Londrigan,41.85%,77,184,63.09%
Sangamon County,Woodside 004,Davis,62.33%,182,Dirksen-Londrigan,37.67%,110,292,64.77%
Sangamon County,Woodside 005,Davis,49.78%,223,Dirksen-Londrigan,50.22%,225,448,57.27%
Sangamon County,Woodside 006,Davis,53.51%,183,Dirksen-Londrigan,46.49%,159,342,43.35%
Sangamon County,Woodside 007,Davis,33.33%,3,Dirksen-Londrigan,66.67%,6,9,78.32%
Sangamon County,Woodside 008,Davis,49.21%,249,Dirksen-Londrigan,50.79%,257,506,61.46%
Sangamon County,Woodside 009,Davis,56.14%,215,Dirksen-Londrigan,43.86%,168,383,63.17%
Sangamon County,Woodside 010,Davis,75.00%,3,Dirksen-Londrigan,25.00%,1,4,69.43%
Sangamon County,Woodside 011,Davis,55.82%,187,Dirksen-Londrigan,44.18%,148,335,62.57%
Sangamon County,Woodside 012,Davis,45.74%,86,Dirksen-Londrigan,54.26%,102,188,47.26%
Sangamon County,Woodside 013,Davis,42.51%,71,Dirksen-Londrigan,57.49%,96,167,52.60%
